Food_Code,Food_Name,Nutrient_Payload
D024,[D024] Vegetable (Solanum melongena),"Macronutrients [Protein: 89.44±0.96g, Fat: 1.58±0.27g, Carbs: 3.96±0.19g] | Water-Soluble Vitamins [Folate (B9): 0.08±0.01 mcg, Vitamin C: 14.04±2.02 mg, B1: Brinjal-15 mg, B2: 4 mg] | Minerals [Calcium: 4 mg, Iron: 0.06±0.02 mg, Magnesium: 17.82±2.16 mg, Zinc: 0.003±0.002 mg] | Minerals [Calcium: 4 mg, Iron: 21.89±3.72 mg, Magnesium: 0.15±0.05 mg, Zinc: 0.004±0.003 mg]"
D025,[D025] melongena),"Macronutrients [Protein: 90.39g, Fat: 1.26g, Carbs: 3.46g] | Water-Soluble Vitamins [Folate (B9): 0.09 mcg, Vitamin C: 13.37 mg, B1: Brinjal-16(Solanum mg, B2: 1 mg] | Minerals [Calcium: 1 mg, Iron: 0.10 mg, Magnesium: 0.001 mg, Zinc: 18.33 mg] | Minerals [Calcium: 1 mg, Iron: 17.06 mg, Magnesium: 0.18 mg, Zinc: 0.003 mg]"
D026,[D026] melongena),"Macronutrients [Protein: 90.83g, Fat: 1.18g, Carbs: 2.89g] | Water-Soluble Vitamins [Folate (B9): 0.07 mcg, Vitamin C: 12.75 mg, B1: Brinjal-17(Solanum mg, B2: 1 mg] | Minerals [Calcium: 1 mg, Iron: 0.10 mg, Magnesium: 20.83 mg, Zinc: 0.004 mg] | Minerals [Calcium: 1 mg, Iron: 23.13 mg, Magnesium: 0.14 mg, Zinc: 0.005 mg]"
D027,[D027] Vegetable (Solanum melongena),"Macronutrients [Protein: 89.07±0.78g, Fat: 1.47±0.15g, Carbs: 4.10±0.88g] | Water-Soluble Vitamins [Folate (B9): 0.04±0.01 mcg, Vitamin C: 13.67±0.92 mg, B1: Brinjal-18 mg, B2: 3 mg] | Minerals [Calcium: 3 mg, Iron: 0.08±0.02 mg, Magnesium: 0.001±0.001 mg, Zinc: 16.24±4.21 mg] | Minerals [Calcium: 3 mg, Iron: 15.48±1.73 mg, Magnesium: 0.17±0.04 mg, Zinc: 0.006±0.000 mg]"
D028,[D028] melongena),"Macronutrients [Protein: 90.41±0.55g, Fat: 1.26±0.06g, Carbs: 3.39±0.36g] | Water-Soluble Vitamins [Folate (B9): 0.07±0.03 mcg, Vitamin C: 11.48±1.05 mg, B1: Brinjal-19(Solanum mg, B2: 3 mg] | Minerals [Calcium: 3 mg, Iron: 0.07±0.06 mg, Magnesium: 0.001±0.000 mg, Zinc: 16.10±1.74 mg] | Minerals [Calcium: 3 mg, Iron: 18.41±2.91 mg, Magnesium: 0.16±0.02 mg, Zinc: 0.001±0.000 mg]"
D029,[D029] melongena),"Macronutrients [Protein: 90.65±0.79g, Fat: 1.44±0.21g, Carbs: 3.15±0.60g] | Water-Soluble Vitamins [Folate (B9): 0.07±0.03 mcg, Vitamin C: 10.94±1.17 mg, B1: Brinjal-20(Solanum mg, B2: 5 mg] | Minerals [Calcium: 5 mg, Iron: 0.14±0.09 mg, Magnesium: 0.001±0.001 mg, Zinc: 14.36±2.59 mg] | Minerals [Calcium: 5 mg, Iron: 18.51±3.26 mg, Magnesium: 0.16±0.05 mg, Zinc: 0.001±0.001 mg]"
D030,[D030] melongena),"Macronutrients [Protein: 89.83g, Fat: 1.36g, Carbs: 3.93g] | Water-Soluble Vitamins [Folate (B9): 0.08 mcg, Vitamin C: 10.50 mg, B1: Brinjal-21(Solanum mg, B2: 2 mg] | Minerals [Calcium: 2 mg, Iron: 0.08 mg, Magnesium: 0.002 mg, Zinc: 15.27 mg] | Minerals [Calcium: 2 mg, Iron: 17.30 mg, Magnesium: 0.23 mg, Zinc: 0.017 mg]"
D031,[D031] Brinjal - all varieties (Solanum melongena),"Macronutrients [Protein: 90.00±0.90g, Fat: 1.48±0.22g, Carbs: 3.52±0.80g] | Water-Soluble Vitamins [Folate (B9): 0.07±0.03 mcg, Vitamin C: 13.53±2.62 mg, B1: - mg, B2: 6 mg] | Minerals [Calcium: 0.08±0.05 mg, Iron: 0.001±0.001 mg, Magnesium: 16.59±3.13 mg, Zinc: 0.005±0.003 mg] | Minerals [Calcium: 21±5.68 mg, Iron: 0.17±0.06 mg, Magnesium: 0.002±0.002 mg, Zinc: 0.011±0.009 mg]"
D032,[D032] Broad beans (Vicia faba),"Macronutrients [Protein: 3.85±0.13g, Fat: 1.05±0.08g, Carbs: 2.11±0.11g] | Water-Soluble Vitamins [Folate (B9): 0.06±0.03 mcg, Vitamin C: 93.20±0.50 mg, B1: 3 mg, B2: 11.58±1.55 mg] | Minerals [Calcium: 0.34±0.16 mg, Iron: 64.37±5.06 mg, Magnesium: 0.001±0.000 mg, Zinc: 0.002±0.001 mg] | Minerals [Calcium: 40.18±2.10 mg, Iron: 0.47±0.04 mg, Magnesium: 0.024±0.006 mg, Zinc: 0.04±0.01 mg]"
D033,"[D033] Capsicum, green (Capsicum annuum)","Macronutrients [Protein: 1.11±0.11g, Fat: 0.76±0.05g, Carbs: 1.84±0.32g] | Water-Soluble Vitamins [Folate (B9): 0.07±0.03 mcg, Vitamin C: 24.66±2.89 mg, B1: 6 mg, B2: 0.70±0.21 mg] | Minerals [Calcium: 0.001±0.000 mg, Iron: 14.75±2.93 mg, Magnesium: 0.017±0.008 mg, Zinc: 0.002±0.001 mg] | Minerals [Calcium: 11.84±1.91 mg, Iron: 0.10±0.04 mg, Magnesium: 0.001±0.001 mg, Zinc: 0.014±0.007 mg]"
