Food_Code,Food_Name,Nutrient_Payload
E027,"[E027] Grapes, seedless, round, black (Vitis vinifera)","Macronutrients [Protein: 1.24±0.25g, Fat: 0.49±0.05g, Carbs: 19.86±1.58g] | Water-Soluble Vitamins [Folate (B9): 8.89±2.54 mcg, Vitamin C: 22.79±3.45 mg, B1: 5 mg, B2: 0.03±0.019 mg] | Water-Soluble Vitamins [Folate (B9): 0.06±0.02 mcg, Vitamin C: 3.00±1.16 mg, B1: 5 mg, B2: 6.23±0.45 mg] | Minerals [Calcium: 0.001±0.000 mg, Iron: 18.75±5.41 mg, Magnesium: 0.004±0.002 mg, Zinc: 0.05±0.01 mg] | Minerals [Calcium: 10.80±1.71 mg, Iron: 0.15±0.02 mg, Magnesium: 0.003±0.002 mg, Zinc: 0.005±0.002 mg]"
E028,"[E028] Guava, white flesh (Psidium guajava)","Macronutrients [Protein: 1.44±0.09g, Fat: 0.72±0.05g, Carbs: 5.13±0.33g] | Water-Soluble Vitamins [Folate (B9): 29.76±0.66 mcg, Vitamin C: 214±13.6 mg, B1: 5 mg, B2: 0.05±0.006 mg] | Water-Soluble Vitamins [Folate (B9): 0.09±0.01 mcg, Vitamin C: 3.68±0.38 mg, B1: 5 mg, B2: 1.68±0.23 mg] | Minerals [Calcium: 18.52±2.10 mg, Iron: 0.004±0.002 mg, Magnesium: 0.003±0.002 mg, Zinc: 0.16±0.04 mg] | Minerals [Calcium: 15.26±2.22 mg, Iron: 0.22±0.07 mg, Magnesium: 0.009±0.002 mg, Zinc: 23.54±3.12 mg]"
E029,"[E029] Guava, pink flesh (Psidium guajava)","Macronutrients [Protein: 1.19±0.19g, Fat: 0.81±0.06g, Carbs: 9.14±0.27g] | Water-Soluble Vitamins [Folate (B9): 32.17±2.69 mcg, Vitamin C: 222±27.0 mg, B1: 5 mg, B2: 0.03±0.010 mg] | Water-Soluble Vitamins [Folate (B9): 0.11±0.01 mcg, Vitamin C: 5.35±0.61 mg, B1: 5 mg, B2: 0.93±0.06 mg] | Minerals [Calcium: 14.22±2.92 mg, Iron: 0.009±0.003 mg, Magnesium: 0.003±0.001 mg, Zinc: 0.17±0.02 mg] | Minerals [Calcium: 13.26±1.32 mg, Iron: 0.16±0.03 mg, Magnesium: 0.003±0.002 mg, Zinc: 0.014±0.003 mg]"
E030,"[E030] Jack fruit, ripe (Artocarpus heterophyllus)","Macronutrients [Protein: 2.74±0.47g, Fat: 0.91±0.08g, Carbs: 14.01±0.56g] | Water-Soluble Vitamins [Folate (B9): 32.15±2.27 mcg, Vitamin C: 6.73±1.59 mg, B1: 5 mg, B2: 0.05±0.004 mg] | Water-Soluble Vitamins [Folate (B9): 0.07±0.01 mcg, Vitamin C: 37.00±3.73 mg, B1: 5 mg, B2: 7.49±0.25 mg] | Minerals [Calcium: 35.03±4.50 mg, Iron: 0.005±0.002 mg, Magnesium: 0.19±0.09 mg, Zinc: 0.36±0.16 mg] | Minerals [Calcium: 31.84±5.19 mg, Iron: 0.35±0.17 mg, Magnesium: 0.005±0.003 mg, Zinc: 23.02±9.21 mg]"
E031,"[E031] Jambu fruit, ripe (Syzygium samarangense)","Macronutrients [Protein: 0.82g, Fat: 0.31g, Carbs: 12.30g] | Water-Soluble Vitamins [Folate (B9): 7.63 mcg, Vitamin C: 16.47 mg, B1: 2 mg, B2: 0.02 mg] | Water-Soluble Vitamins [Folate (B9): 0.04 mcg, Vitamin C: 7.94 mg, B1: 2 mg, B2: 0.82 mg] | Minerals [Calcium: 0.45 mg, Iron: 25.36 mg, Magnesium: 0.015 mg, Zinc: 0.02 mg] | Minerals [Calcium: 27.97 mg, Iron: 0.04 mg, Magnesium: 0.016 mg, Zinc: 9.60 mg]"
E032,[E032] Karonda fruit (Carissa carandas),"Macronutrients [Protein: 1.15g, Fat: 1.02g, Carbs: 2.87g] | Water-Soluble Vitamins [Folate (B9): 8.72 mcg, Vitamin C: 135 mg, B1: 1 mg, B2: 0.01 mg] | Water-Soluble Vitamins [Folate (B9): 0.04 mcg, Vitamin C: 2.50 mg, B1: 1 mg, B2: 1.43 mg] | Minerals [Calcium: 0.99 mg, Iron: 1.84 mg, Magnesium: 0.002 mg, Zinc: 10.81 mg] | Minerals [Calcium: 24.45 mg, Iron: 0.24 mg, Magnesium: 0.07 mg, Zinc: 0.006 mg]"
E033,"[E033] Lemon, juice (Citrus limon)","Macronutrients [Protein: 0.41±0.05g, Fat: 0.28±0.03g, Carbs: 6.97±0.56g] | Water-Soluble Vitamins [Folate (B9): 12.43±1.85 mcg, Vitamin C: 48.16±4.35 mg, B1: 6 mg, B2: 0.04±0.007 mg] | Water-Soluble Vitamins [Folate (B9): 0.06±0.01 mcg, Vitamin C: 1.80±0.63 mg, B1: 6 mg, B2: 0.39±0.04 mg] | Minerals [Calcium: 0.11±0.04 mg, Iron: 22.68±2.90 mg, Magnesium: 0.002±0.002 mg, Zinc: 0.03±0.01 mg] | Minerals [Calcium: 8.90±0.55 mg, Iron: 0.02±0.00 mg, Magnesium: 0.009±0.006 mg, Zinc: 0.001±0.000 mg]"
E034,"[E034] Lime, sweet,pulp (Citrus limetta)","Macronutrients [Protein: 0.76±0.09g, Fat: 0.47±0.03g, Carbs: 5.18±0.37g] | Water-Soluble Vitamins [Folate (B9): 15.38±4.15 mcg, Vitamin C: 46.96±7.64 mg, B1: 6 mg, B2: 0.06±0.005 mg] | Water-Soluble Vitamins [Folate (B9): 0.07±0.02 mcg, Vitamin C: 2.20±1.01 mg, B1: 6 mg, B2: 0.30±0.09 mg] | Minerals [Calcium: 25.79±5.02 mg, Iron: 0.017±0.007 mg, Magnesium: 0.03±0.00 mg, Zinc: 0.11±0.02 mg] | Minerals [Calcium: 15.40±1.42 mg, Iron: 0.04±0.01 mg, Magnesium: 0.001±0.001 mg, Zinc: 0.001±0.000 mg]"
E035,[E035] Litchi (Litchi chinensis),"Macronutrients [Protein: 0.99±0.09g, Fat: 0.44±0.06g, Carbs: 11.41±0.20g] | Water-Soluble Vitamins [Folate (B9): 15.69±5.09 mcg, Vitamin C: 33.82±5.24 mg, B1: 4 mg, B2: 0.02±0.003 mg] | Water-Soluble Vitamins [Folate (B9): 0.06±0.01 mcg, Vitamin C: 7.81±2.06 mg, B1: 4 mg, B2: 0.33±0.09 mg] | Minerals [Calcium: 0.54±0.07 mg, Iron: 0.21±0.11 mg, Magnesium: 5.77±0.80 mg, Zinc: 0.010±0.004 mg] | Minerals [Calcium: 14.58±1.67 mg, Iron: 0.04±0.01 mg, Magnesium: 0.007±0.002 mg, Zinc: 23.32±3.13 mg]"
E036,"[E036] Mango, ripe, banganapalli (Mangifera indica)","Macronutrients [Protein: 0.54±0.10g, Fat: 0.42±0.04g, Carbs: 8.18±0.49g] | Water-Soluble Vitamins [Folate (B9): 82.05±7.90 mcg, Vitamin C: 32.97±7.14 mg, B1: 6 mg, B2: 0.03±0.005 mg] | Water-Soluble Vitamins [Folate (B9): 0.28±0.06 mcg, Vitamin C: 4.77±0.20 mg, B1: 6 mg, B2: 3.71±0.21 mg] | Minerals [Calcium: 15.77±1.64 mg, Iron: 0.020±0.010 mg, Magnesium: 0.10±0.01 mg, Zinc: 0.51±0.17 mg] | Minerals [Calcium: 13.35±1.07 mg, Iron: 0.22±0.08 mg, Magnesium: 0.007±0.002 mg, Zinc: 11.07±2.00 mg]"
E037,"[E037] Mango, ripe, gulabkhas (Mangifera indica)","Macronutrients [Protein: 0.52g, Fat: 0.32g, Carbs: 10.32g] | Water-Soluble Vitamins [Folate (B9): 84.35 mcg, Vitamin C: 27.65 mg, B1: 2 mg, B2: 0.03 mg] | Water-Soluble Vitamins [Folate (B9): 0.20 mcg, Vitamin C: 4.80 mg, B1: 2 mg, B2: 3.91 mg] | Minerals [Calcium: 19.33 mg, Iron: 0.010 mg, Magnesium: 0.07 mg, Zinc: 0.38 mg] | Minerals [Calcium: 11.53 mg, Iron: 0.11 mg, Magnesium: 0.001 mg, Zinc: 10.66 mg]"
E038,"[E038] Mango, ripe, himsagar (Mangifera indica)","Macronutrients [Protein: 0.46±0.04g, Fat: 0.38±0.02g, Carbs: 9.03±0.26g] | Water-Soluble Vitamins [Folate (B9): 90.98±6.12 mcg, Vitamin C: 49.09±23.24 mg, B1: 3 mg, B2: 0.03±0.005 mg] | Water-Soluble Vitamins [Folate (B9): 0.31±0.09 mcg, Vitamin C: 4.40±0.26 mg, B1: 3 mg, B2: 3.73±0.11 mg] | Minerals [Calcium: 15.54±1.84 mg, Iron: 0.016±0.006 mg, Magnesium: 0.001±0.002 mg, Zinc: 0.08±0.01 mg] | Minerals [Calcium: 12.07±0.78 mg, Iron: 0.17±0.04 mg, Magnesium: 0.005±0.004 mg, Zinc: 12.25±4.15 mg]"
E039,"[E039] Mango, ripe, kesar (Mangifera indica)","Macronutrients [Protein: 0.54±0.05g, Fat: 0.44±0.07g, Carbs: 11.36±0.49g] | Water-Soluble Vitamins [Folate (B9): 90.43±8.24 mcg, Vitamin C: 29.08±4.61 mg, B1: 4 mg, B2: 0.03±0.007 mg] | Water-Soluble Vitamins [Folate (B9): 0.26±0.02 mcg, Vitamin C: 4.75±0.33 mg, B1: 4 mg, B2: 3.68±0.38 mg] | Minerals [Calcium: 15.74±0.89 mg, Iron: 0.028±0.019 mg, Magnesium: 0.07±0.01 mg, Zinc: 0.43±0.19 mg] | Minerals [Calcium: 12.53±1.19 mg, Iron: 0.22±0.07 mg, Magnesium: 0.004±0.002 mg, Zinc: 12.36±0.38 mg]"
E040,"[E040] Mango, ripe, neelam (Mangifera indica)","Macronutrients [Protein: 0.68g, Fat: 0.38g, Carbs: 8.21g] | Water-Soluble Vitamins [Folate (B9): 68.70 mcg, Vitamin C: 29.93 mg, B1: 2 mg, B2: 0.03 mg] | Water-Soluble Vitamins [Folate (B9): 0.29 mcg, Vitamin C: 5.00 mg, B1: 2 mg, B2: 3.72 mg] | Minerals [Calcium: 11.36 mg, Iron: 0.004 mg, Magnesium: 0.08 mg, Zinc: 0.36 mg] | Minerals [Calcium: 10.10 mg, Iron: 0.07 mg, Magnesium: 11.63 mg, Zinc: 137 mg]"
E041,"[E041] Mango, ripe, paheri (Mangifera indica)","Macronutrients [Protein: 0.68g, Fat: 0.42g, Carbs: 8.67g] | Water-Soluble Vitamins [Folate (B9): 65.28 mcg, Vitamin C: 30.75 mg, B1: 2 mg, B2: 0.03 mg] | Minerals [Calcium: 15.11 mg, Iron: 0.024 mg, Magnesium: 0.11 mg, Zinc: 0.51 mg] | Minerals [Calcium: 14.28 mg, Iron: 0.24 mg, Magnesium: 0.003 mg, Zinc: 15.18 mg]"
E042,"[E042] Mango, ripe, totapari (Mangifera indica)","Macronutrients [Protein: 0.41g, Fat: 0.47g, Carbs: 12.75g] | Water-Soluble Vitamins [Folate (B9): 77.69 mcg, Vitamin C: 25.26 mg, B1: 1 mg, B2: 0.02 mg] | Minerals [Calcium: 13.34 mg, Iron: 0.004 mg, Magnesium: 0.08 mg, Zinc: 0.28 mg] | Minerals [Calcium: 12.55 mg, Iron: 0.32 mg, Magnesium: 0.004 mg, Zinc: 9.87 mg]"
E043,[E043] Mangosteen (Garcinia mangostana),"Macronutrients [Protein: 0.63g, Fat: 0.33g, Carbs: 11.41g] | Water-Soluble Vitamins [Folate (B9): 13.52 mcg, Vitamin C: 26.33 mg, B1: 1 mg, B2: 0.01 mg] | Minerals [Calcium: 0.17 mg, Iron: 0.05 mg, Magnesium: 0.002 mg, Zinc: 4.69 mg] | Minerals [Calcium: 12.00 mg, Iron: 0.04 mg, Magnesium: 0.03 mg, Zinc: 0.002 mg]"
E044,[E044] Manila tamarind (Pithecellobium dulce),"Macronutrients [Protein: 3.56g, Fat: 2.82g, Carbs: 13.54g] | Water-Soluble Vitamins [Folate (B9): 4.24 mcg, Vitamin C: 55.78 mg, B1: 1 mg, B2: 0.18 mg] | Minerals [Calcium: 32.98 mg, Iron: 0.27 mg, Magnesium: 73.53 mg, Zinc: 376 mg]"
E045,"[E045] Musk melon, orange flesh (Cucumis melon)","Macronutrients [Protein: 0.42±0.06g, Fat: 0.52±0.02g, Carbs: 4.24±0.40g] | Water-Soluble Vitamins [Folate (B9): 22.31±2.48 mcg, Vitamin C: 22.76±3.42 mg, B1: 5 mg, B2: 0.01±0.000 mg] | Minerals [Calcium: 0.02±0.01 mg, Iron: 0.03±0.04 mg, Magnesium: 9.80±2.14 mg, Zinc: 0.004±0.002 mg] | Minerals [Calcium: 11.62±3.20 mg, Iron: 0.04±0.01 mg, Magnesium: 0.006±0.003 mg, Zinc: 17.28±1.65 mg]"
E046,"[E046] Musk melon, yellow flesh (Cucumis melon)","Macronutrients [Protein: 0.53±0.05g, Fat: 0.48±0.04g, Carbs: 5.40±1.04g] | Water-Soluble Vitamins [Folate (B9): 20.23±5.16 mcg, Vitamin C: 21.32±1.19 mg, B1: 6 mg, B2: 0.01±0.018 mg] | Minerals [Calcium: 0.04±0.03 mg, Iron: 9.02±2.95 mg, Magnesium: 0.002±0.000 mg, Zinc: 0.001±0.000 mg] | Minerals [Calcium: 9.81±2.68 mg, Iron: 0.04±0.01 mg, Magnesium: 0.006±0.002 mg, Zinc: 13.09±2.91 mg]"
E047,"[E047] Orange, pulp (Citrus aurantium)","Macronutrients [Protein: 0.70±0.12g, Fat: 0.36±0.02g, Carbs: 7.92±0.27g] | Water-Soluble Vitamins [Folate (B9): 19.46±1.09 mcg, Vitamin C: 42.72±4.81 mg, B1: 6 mg, B2: 0.07±0.009 mg] | Minerals [Calcium: 19.52±1.48 mg, Iron: 0.012±0.003 mg, Magnesium: 0.03±0.01 mg, Zinc: 0.81±0.04 mg] | Minerals [Calcium: 11.05±0.52 mg, Iron: 0.02±0.00 mg, Magnesium: 0.001±0.001 mg, Zinc: 0.001±0.000 mg]"
E048,"[E048] Palm fruit, tender (Borassus flabellifer)","Macronutrients [Protein: 0.50g, Fat: 0.13g, Carbs: 4.92g] | Water-Soluble Vitamins [Folate (B9): 24.40 mcg, Vitamin C: 0.25 mg, B1: 1 mg, B2: 0.01 mg]"
E049,"[E049] Papaya, ripe (Carica papaya)","Macronutrients [Protein: 0.42±0.05g, Fat: 0.51±0.03g, Carbs: 4.61±0.48g] | Water-Soluble Vitamins [Folate (B9): 60.90±6.64 mcg, Vitamin C: 43.09±7.02 mg, B1: 6 mg, B2: 0.03±0.009 mg] | Minerals [Calcium: 0.05±0.01 mg, Iron: 15.02±1.47 mg, Magnesium: 0.003±0.000 mg, Zinc: 0.04±0.01 mg] | Minerals [Calcium: 10.97±2.21 mg, Iron: 0.03±0.00 mg, Magnesium: 0.001±0.000 mg, Zinc: 0.002±0.001 mg]"
E050,[E050] Peach (Prunus communis),"Macronutrients [Protein: 0.86g, Fat: 0.51g, Carbs: 7.82g] | Water-Soluble Vitamins [Folate (B9): 6.34 mcg, Vitamin C: 5.49 mg, B1: 1 mg, B2: 0.02 mg] | Minerals [Calcium: 0.18 mg, Iron: 0.11 mg, Magnesium: 0.197 mg, Zinc: 6.98 mg] | Minerals [Calcium: 8.06 mg, Iron: 0.05 mg, Magnesium: 0.01 mg, Zinc: 0.713 mg]"
E051,[E051] Pear (Pyrus sp.),"Macronutrients [Protein: 0.36±0.04g, Fat: 0.32±0.02g, Carbs: 8.09±0.23g] | Water-Soluble Vitamins [Folate (B9): 5.28±1.17 mcg, Vitamin C: 3.31±0.90 mg, B1: 6 mg, B2: 0.02±0.005 mg] | Minerals [Calcium: 0.59±0.03 mg, Iron: 6.55±1.39 mg, Magnesium: 0.009±0.003 mg, Zinc: 0.001±0.000 mg] | Minerals [Calcium: 7.61±1.23 mg, Iron: 0.08±0.01 mg, Magnesium: 0.008±0.004 mg, Zinc: 6.74±1.79 mg]"
E052,[E052] Phalsa (Grewia asiatica),"Macronutrients [Protein: 1.66g, Fat: 1.09g, Carbs: 15.09g] | Water-Soluble Vitamins [Folate (B9): 22.56 mcg, Vitamin C: 5.11 mg, B1: 2 mg, B2: 0.03 mg] | Minerals [Calcium: 0.92 mg, Iron: 153 mg, Magnesium: 0.24 mg, Zinc: 2.01 mg] | Minerals [Calcium: 76.92 mg, Iron: 0.47 mg, Magnesium: 0.17 mg, Zinc: 0.003 mg]"
E053,[E053] Pineapple (Ananas comosus),"Macronutrients [Protein: 0.52±0.09g, Fat: 0.38±0.04g, Carbs: 9.42±1.15g] | Water-Soluble Vitamins [Folate (B9): 18.21±1.65 mcg, Vitamin C: 36.37±3.65 mg, B1: 6 mg, B2: 0.05±0.007 mg] | Minerals [Calcium: 0.08±0.04 mg, Iron: 0.24±0.25 mg, Magnesium: 10.88±1.91 mg, Zinc: 0.008±0.006 mg] | Minerals [Calcium: 12.68±4.32 mg, Iron: 1.28±0.35 mg, Magnesium: 0.017±0.004 mg, Zinc: 13.56±4.36 mg]"
E054,[E054] Plum (Prunus domestica),"Macronutrients [Protein: 0.64±0.13g, Fat: 0.35±0.16g, Carbs: 12.10±1.47g] | Water-Soluble Vitamins [Folate (B9): 14.29±1.96 mcg, Vitamin C: 2.26±0.00 mg, B1: 3 mg, B2: 0.02±0.011 mg] | Minerals [Calcium: 0.20±0.05 mg, Iron: 0.03±0.04 mg, Magnesium: 0.057±0.021 mg, Zinc: 7.61±0.94 mg] | Minerals [Calcium: 7.79±1.00 mg, Iron: 0.06±0.02 mg, Magnesium: 0.01±0.00 mg, Zinc: 0.115±0.162 mg]"
E055,"[E055] Pomegranate, maroon seeds (Punica granatum)","Macronutrients [Protein: 1.33±0.07g, Fat: 0.57±0.04g, Carbs: 11.58±0.43g] | Water-Soluble Vitamins [Folate (B9): 38.64±2.93 mcg, Vitamin C: 12.69±1.36 mg, B1: 6 mg, B2: 0.06±0.005 mg] | Minerals [Calcium: 0.05±0.01 mg, Iron: 10.65±1.82 mg, Magnesium: 0.010±0.003 mg, Zinc: 0.001±0.000 mg] | Minerals [Calcium: 11.07±0.96 mg, Iron: 0.13±0.03 mg, Magnesium: 0.005±0.003 mg, Zinc: 27.20±10.01 mg]"
E056,[E056] Pummelo (Citrus maxima),"Macronutrients [Protein: 0.68±0.06g, Fat: 0.49±0.03g, Carbs: 10.64±1.54g] | Water-Soluble Vitamins [Folate (B9): 13.44±1.47 mcg, Vitamin C: 48.89±1.52 mg, B1: 3 mg, B2: 0.06±0.045 mg] | Minerals [Calcium: 0.33±0.10 mg, Iron: 14.03±4.73 mg, Magnesium: 0.001±0.000 mg, Zinc: 0.03±0.01 mg] | Minerals [Calcium: 6.83±1.69 mg, Iron: 0.01±0.00 mg, Magnesium: 0.03±0.01 mg, Zinc: 0.001±0.000 mg]"
E057,"[E057] Raisins, dried, black (Vitis vinifera)","Macronutrients [Protein: 2.57±0.20g, Fat: 2.19±0.14g, Carbs: 71.29±0.48g] | Water-Soluble Vitamins [Folate (B9): 38.30±4.98 mcg, Vitamin C: 2.05±0.14 mg, B1: 6 mg, B2: 0.09±0.013 mg] | Minerals [Calcium: 3.06±0.49 mg, Iron: 73.24±5.48 mg, Magnesium: 0.024±0.009 mg, Zinc: 0.003±0.001 mg] | Minerals [Calcium: 33.76±6.09 mg, Iron: 0.52±0.09 mg, Magnesium: 0.016±0.020 mg, Zinc: 0.025±0.004 mg]"
E058,"[E058] Raisins, dried, golden (Vitis vinifera)","Macronutrients [Protein: 2.76±0.26g, Fat: 2.04±0.17g, Carbs: 68.79±1.00g] | Water-Soluble Vitamins [Folate (B9): 34.68±4.36 mcg, Vitamin C: 1.85±0.27 mg, B1: 6 mg, B2: 0.09±0.012 mg] | Minerals [Calcium: 3.53±0.36 mg, Iron: 51.83±5.26 mg, Magnesium: 0.009±0.002 mg, Zinc: 0.003±0.001 mg] | Minerals [Calcium: 28.32±6.15 mg, Iron: 0.41±0.06 mg, Magnesium: 0.011±0.015 mg, Zinc: 0.018±0.007 mg]"
E059,[E059] Rambutan (Nephelium lappaceum),"Macronutrients [Protein: 0.68g, Fat: 0.43g, Carbs: 16.84g] | Water-Soluble Vitamins [Folate (B9): 7.35 mcg, Vitamin C: 65.00 mg, B1: 1 mg, B2: 0.11 mg] | Minerals [Calcium: 8.67 mg, Iron: 0.003 mg, Magnesium: 0.08 mg, Zinc: 0.37 mg] | Minerals [Calcium: 21.38 mg, Iron: 0.37 mg, Magnesium: 6.98 mg, Zinc: 131 mg]"
E060,[E060] Sapota (Achras sapota),"Macronutrients [Protein: 0.92±0.07g, Fat: 0.68±0.05g, Carbs: 13.90±1.13g] | Water-Soluble Vitamins [Folate (B9): 10.83±1.91 mcg, Vitamin C: 20.96±4.62 mg, B1: 6 mg, B2: 0.01±0.001 mg] | Minerals [Calcium: 17.87±3.38 mg, Iron: 0.010±0.003 mg, Magnesium: 0.07±0.03 mg, Zinc: 0.49±0.33 mg] | Minerals [Calcium: 16.19±2.51 mg, Iron: 0.08±0.01 mg, Magnesium: 0.001±0.000 mg, Zinc: 0.029±0.006 mg]"
E061,[E061] Soursop (Annona muricata),"Macronutrients [Protein: 0.74g, Fat: 0.58g, Carbs: 11.94g] | Water-Soluble Vitamins [Folate (B9): 6.09 mcg, Vitamin C: 59.54 mg, B1: 1 mg, B2: 0.03 mg] | Minerals [Calcium: 10.05 mg, Iron: 0.001 mg, Magnesium: 0.14 mg, Zinc: 0.29 mg] | Minerals [Calcium: 17.70 mg, Iron: 0.07 mg, Magnesium: 25.83 mg, Zinc: 264 mg]"
E062,[E062] Star fruit (Averrhoa carambola),"Macronutrients [Protein: 0.79g, Fat: 0.33g, Carbs: 4.51g] | Water-Soluble Vitamins [Folate (B9): 8.43 mcg, Vitamin C: 33.55 mg, B1: 1 mg, B2: 0.08 mg] | Minerals [Calcium: 0.43 mg, Iron: 0.05 mg, Magnesium: 0.852 mg, Zinc: 4.97 mg] | Minerals [Calcium: 11.53 mg, Iron: 0.06 mg, Magnesium: 0.04 mg, Zinc: 0.010 mg]"
E063,[E063] Strawberry (Fragaria x ananassa),"Macronutrients [Protein: 0.97±0.10g, Fat: 0.54±0.02g, Carbs: 3.40±0.64g] | Water-Soluble Vitamins [Folate (B9): 8.91±3.84 mcg, Vitamin C: 50.20±4.97 mg, B1: 1 mg, B2: 0.06±0.063 mg] | Fat-Soluble Vitamins [Vitamin A: 6 mcg, Vitamin D2: 3.95±0.18 mcg, Vitamin E: 19.81±1.60 mg] | Minerals [Calcium: 15.28±3.37 mg, Iron: 0.001±0.000 mg, Magnesium: 0.07±0.01 mg, Zinc: 0.36±0.03 mg] | Minerals [Calcium: 15.53±1.31 mg, Iron: 0.43±0.02 mg, Magnesium: 26.31±2.09 mg, Zinc: 140±5.7 mg]"
E064,"[E064] Tamarind, pulp (Tamarindus indica)","Macronutrients [Protein: 2.92±0.22g, Fat: 3.44±0.31g, Carbs: 67.35±0.45g] | Water-Soluble Vitamins [Folate (B9): 9.79±0.80 mcg, Vitamin C: 3.62±0.85 mg, B1: 6 mg, B2: 0.34±0.039 mg] | Fat-Soluble Vitamins [Vitamin A: 6 mcg, Vitamin D2: 25.65±1.86 mcg, Vitamin E: 1.67±0.33 mg] | Minerals [Calcium: 4.03±0.81 mg, Iron: 0.001±0.001 mg, Magnesium: 149±13.9 mg, Zinc: 0.066±0.007 mg] | Minerals [Calcium: 82.73±8.55 mg, Iron: 0.52±0.14 mg, Magnesium: 0.070±0.060 mg, Zinc: 0.032±0.020 mg]"
E065,[E065] Tamarind,"Macronutrients [Protein: 0.60±0.06g, Fat: 0.13±0.02g, Carbs: 3.86±0.59g] | Water-Soluble Vitamins [Folate (B9): 5.88±0.55 mcg, Vitamin C: 13.26±2.66 mg, B1: 6 mg, B2: 0.02±0.004 mg] | Fat-Soluble Vitamins [Vitamin A: 6 mcg, Vitamin D2: 0.56±0.03 mcg, Vitamin E: 2.10±1.22 mg] | Minerals [Calcium: 5.29±1.09 mg, Iron: 0.002±0.001 mg, Magnesium: 0.001±0.001 mg, Zinc: 0.04±0.01 mg] | Minerals [Calcium: 9.91±0.73 mg, Iron: 0.04±0.02 mg, Magnesium: 0.010±0.008 mg, Zinc: 11.33±2.50 mg]"
E066,"[E066] Water melon, pale green (Citrullus vulgaris)","Macronutrients [Protein: 0.59±0.03g, Fat: 0.12±0.01g, Carbs: 3.02±0.21g] | Water-Soluble Vitamins [Folate (B9): 5.55±1.61 mcg, Vitamin C: 11.45±2.09 mg, B1: 6 mg, B2: 0.02±0.003 mg] | Fat-Soluble Vitamins [Vitamin A: 6 mcg, Vitamin D2: 0.56±0.03 mcg, Vitamin E: 2.80±0.87 mg] | Minerals [Calcium: 0.01±0.00 mg, Iron: 4.35±0.88 mg, Magnesium: 0.003±0.002 mg, Zinc: 0.001±0.000 mg] | Minerals [Calcium: 7.42±1.71 mg, Iron: 0.03±0.01 mg, Magnesium: 0.009±0.008 mg, Zinc: 8.09±1.76 mg]"
E067,[E067] Wood Apple (Limonia acidissima),"Macronutrients [Protein: 3.14±0.30g, Fat: 1.15±0.05g, Carbs: 7.52±0.58g] | Water-Soluble Vitamins [Folate (B9): 6.51±0.44 mcg, Vitamin C: 22.17±7.49 mg, B1: 3 mg, B2: 0.04±0.009 mg] | Fat-Soluble Vitamins [Vitamin A: 3 mcg, Vitamin D2: 28.71±2.87 mcg, Vitamin E: 6.80±0.58 mg] | Minerals [Calcium: 0.09±0.03 mg, Iron: 55.71±7.46 mg, Magnesium: 0.004±0.002 mg, Zinc: 0.001±0.000 mg] | Minerals [Calcium: 23.70±1.68 mg, Iron: 0.20±0.02 mg, Magnesium: 0.025±0.006 mg, Zinc: 84.32±4.00 mg]"
E068,[E068] Zizyphus(Zizyphus jujube),"Macronutrients [Protein: 1.34g, Fat: 0.80g, Carbs: 9.40g] | Water-Soluble Vitamins [Folate (B9): 5.99 mcg, Vitamin C: 60.93 mg, B1: 1 mg, B2: 0.01 mg] | Fat-Soluble Vitamins [Vitamin A: 1 mcg, Vitamin D2: 16.70 mcg, Vitamin E: 2.50 mg] | Minerals [Calcium: 0.11 mg, Iron: 46.55 mg, Magnesium: 0.006 mg, Zinc: 0.12 mg] | Minerals [Calcium: 16.72 mg, Iron: 0.24 mg, Magnesium: 0.008 mg, Zinc: 32.38 mg]"
F001,[F001] Beet root (Beta vulgaris),"Macronutrients [Protein: 1.95±0.14g, Fat: 1.46±0.21g, Carbs: 6.18±0.61g] | Water-Soluble Vitamins [Folate (B9): 97.37±7.06 mcg, Vitamin C: 5.26±0.85 mg, B1: 6 mg, B2: 0.01±0.001 mg] | Fat-Soluble Vitamins [Vitamin A: 6 mcg, Vitamin D2: 0.18±0.01 mcg, Vitamin E: 2.98±0.94 mg] | Minerals [Calcium: 0.33±0.08 mg, Iron: 17.28±2.25 mg, Magnesium: 0.008±0.001 mg, Zinc: 0.001±0.000 mg] | Minerals [Calcium: 33.21±2.70 mg, Iron: 0.57±0.11 mg, Magnesium: 0.002±0.001 mg, Zinc: 0.008±0.002 mg]"
F002,"[F002] Carrot, orange (Daucus carota)","Macronutrients [Protein: 0.95±0.15g, Fat: 1.16±0.09g, Carbs: 5.55±0.48g] | Water-Soluble Vitamins [Folate (B9): 24.04±2.07 mcg, Vitamin C: 6.22±1.99 mg, B1: 6 mg, B2: 0.04±0.003 mg] | Fat-Soluble Vitamins [Vitamin A: 6 mcg, Vitamin D2: 1.36±0.13 mcg, Vitamin E: 18.35±0.19 mg] | Minerals [Calcium: 0.36±0.14 mg, Iron: 35.09±5.89 mg, Magnesium: 0.004±0.001 mg, Zinc: 0.08±0.01 mg] | Minerals [Calcium: 16.73±3.20 mg, Iron: 0.23±0.07 mg, Magnesium: 0.002±0.002 mg, Zinc: 0.010±0.004 mg]"
